path,label,label_id,file_hash,width,height
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0001.jpg,tumor,1,7808f8d7f88dee9f3b15644f9d6df444c4b4d04ec20b38047c2e58391e44c639,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0002.jpg,tumor,1,75b867a885b9bb9bb3b6e2d74038ff8dcde49857a22c8b0619bf1b56b20078f9,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0003.jpg,tumor,1,ae4585b2de09ad615afde955b013ee2982d41bca5e3d75398037208105a46801,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0004.jpg,tumor,1,3a0e14b20b51093bd9a9c44cc397baec5ce467b01a29c3d69b166ebfab8cdb89,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0005.jpg,tumor,1,a753dc8b5cf03e6d7b63c833bf0208e9ef62d16de60e317ff3e1756212818a42,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0006.jpg,tumor,1,b9395b55527e88fbaa70fee7c0f504fffa3d8db8acf26e68b4f840f67267a499,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0007.jpg,tumor,1,21061d32db30105a6330d4c0e457b5fc85b7af2a3417aa0ff7f0b5745d5cdd82,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0008.jpg,tumor,1,ed9340488698e501fea7b059693a722d67372dc90d07e6e456ea96b70975182b,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0009.jpg,tumor,1,444bae1e124b294c0d77c7bcf7270d61c8cdc0ea61e97d3a58fba3ac7c21d15a,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0010.jpg,tumor,1,ba1fb36aa41a1e6762ae4bcb94052465efaaa3aae1fda15ada9e5b8cc78549bf,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0011.jpg,tumor,1,dadc4aedcb77f727246d10b8efb0956ea720d15451c9eaf2446ee345c4da7095,512,512
C:\Users\baral\Downloads\IPPR project\NeuroScan_Brain_Tumor_Classifier\data\brain_tumor_dataset\brain-tumor-mri-dataset\glioma\gl-0012.jpg,tumor,1,2eaee7afdf54749274fb16968530239f1d9dfb1d92fc1c75402e0886f351a0e8,512,512
